Filename                                                                Regions    Missed_Regions     Regions_Cover   Functions  Missed_Functions  Executed       Lines      Missed_Lines     Lines_Cover    Branches   Missed_Branches     Branches_Cover
lib/Backend/PrologEncoder.cpp                                               101                66    34.65%           7                 0   100.00%          72                 9    87.50%          30                16    46.67%
lib/Backend/PrologEncoder.h                                                   6                 1    83.33%           6                 1    83.33%           6                 1    83.33%           0                 0         -
lib/Backend/QueuedFullJitWorkItem.cpp                                        19                13    31.58%           2                 1    50.00%           6                 3    50.00%           4                 3    25.00%
lib/Backend/Region.cpp                                                      117                71    39.32%           5                 2    60.00%          75                22    70.67%          48                31    35.42%
lib/Backend/Region.h                                                         27                 4    85.19%          19                 4    78.95%          32                 4    87.50%           8                 0   100.00%
lib/Backend/SccLiveness.cpp                                                1037               473    54.39%          21                 3    85.71%         697               120    82.78%         454               179    60.57%
lib/Backend/SccLiveness.h                                                     7                 0   100.00%           2                 0   100.00%           4                 0   100.00%           0                 0         -
lib/Backend/Security.cpp                                                    471               238    49.47%          13                 0   100.00%         444               128    71.17%         248               111    55.24%
lib/Backend/Security.h                                                       10                 0   100.00%           3                 0   100.00%          16                 0   100.00%           8                 0   100.00%
lib/Backend/SimpleJitProfilingHelpers.cpp                                   248               161    35.08%          28                18    35.71%         184                84    54.35%          56                37    33.93%
lib/Backend/SimpleLayout.cpp                                                 70                 2    97.14%           2                 0   100.00%         110                 3    97.27%          50                 7    86.00%
lib/Backend/SimpleLayout.h                                                    1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/SwitchIRBuilder.cpp                                             638               600     5.96%          28                22    21.43%         546               494     9.52%         270               256     5.19%
lib/Backend/SwitchIRBuilder.h                                                 3                 1    66.67%           3                 1    66.67%           3                 1    66.67%           0                 0         -
lib/Backend/Sym.cpp                                                        1872              1419    24.20%          59                16    72.88%         848               421    50.35%         598               473    20.90%
lib/Backend/Sym.h                                                           151                84    44.37%          51                22    56.86%          51                22    56.86%          32                17    46.88%
lib/Backend/Sym.inl                                                          97                60    38.14%           9                 0   100.00%          35                 0   100.00%          22                15    31.82%
lib/Backend/SymTable.cpp                                                    231               117    49.35%          14                 1    92.86%         130                10    92.31%          66                30    54.55%
lib/Backend/SymTable.h                                                        4                 1    75.00%           4                 1    75.00%           5                 1    80.00%           0                 0         -
lib/Backend/TempTracker.cpp                                                1470              1051    28.50%          59                22    62.71%        1239               692    44.15%         770               497    35.45%
lib/Backend/TempTracker.h                                                    56                48    14.29%          19                11    42.11%          19                11    42.11%           4                 4     0.00%
lib/Backend/ValueInfo.cpp                                                  1072               579    45.99%          49                 7    85.71%         574               151    73.69%         458               204    55.46%
lib/Backend/ValueInfo.h                                                     468               254    45.73%          65                18    72.31%         198                46    76.77%         108                61    43.52%
lib/Backend/ValueRelativeOffset.cpp                                         314               217    30.89%          13                 3    76.92%          58                13    77.59%          76                57    25.00%
lib/Backend/ValueRelativeOffset.h                                             1                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
lib/Backend/amd64/EncoderMD.cpp                                            2625              1648    37.22%          39                 1    97.44%        1395               411    70.54%        1148               622    45.82%
lib/Backend/amd64/EncoderMD.h                                               247               138    44.13%          20                 1    95.00%          90                13    85.56%          78                43    44.87%
lib/Backend/amd64/LinearScanMD.cpp                                          458               251    45.20%          13                 0   100.00%         327                88    73.09%         190                99    47.89%
lib/Backend/amd64/LinearScanMD.h                                              5                 0   100.00%           5                 0   100.00%           7                 0   100.00%           0                 0         -
lib/Backend/amd64/LowererMDArch.cpp                                        2422              1654    31.71%          74                34    54.05%        2153               974    54.76%        1102               671    39.11%
lib/Backend/amd64/LowererMDArch.h                                            34                13    61.76%           9                 1    88.89%          27                 1    96.30%          10                 4    60.00%
lib/Backend/amd64/PeepsMD.cpp                                               269                35    86.99%           3                 0   100.00%          89                 3    96.63%          64                18    71.88%
lib/Backend/amd64/PeepsMD.h                                                   1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/amd64/PrologEncoderMD.cpp                                       419               346    17.42%           6                 3    50.00%          70                39    44.29%         120                94    21.67%
lib/Common/BackendApi.h                                                       8                 7    12.50%           5                 4    20.00%          16                13    18.75%           2                 2     0.00%
lib/Common/Codex/Utf8Codex.cpp                                              242               102    57.85%          20                 5    75.00%         370               162    56.22%         190               103    45.79%
lib/Common/Codex/Utf8Codex.h                                                 82                45    45.12%          23                13    43.48%         158                90    43.04%          34                23    32.35%
lib/Common/Codex/Utf8Helper.h                                               168                74    55.95%          23                 5    78.26%         186                54    70.97%          54                23    57.41%
lib/Common/Common/DateUtilities.cpp                                         131                67    48.85%           9                 3    66.67%         148                53    64.19%          68                39    42.65%
lib/Common/Common/Event.cpp                                                  17                15    11.76%           2                 1    50.00%          10                 7    30.00%           8                 7    12.50%
lib/Common/Common/Event.h                                                     6                 2    66.67%           6                 2    66.67%          17                 5    70.59%           0                 0         -
lib/Common/Common/Int32Math.cpp                                               6                 2    66.67%           6                 2    66.67%          30                 9    70.00%           0                 0         -
lib/Common/Common/Int32Math.h                                                 2                 1    50.00%           2                 1    50.00%           6                 3    50.00%           0                 0         -
lib/Common/Common/Int64Math.cpp                                               4                 3    25.00%           4                 3    25.00%          17                13    23.53%           0                 0         -
lib/Common/Common/IntMathCommon.h                                            81                53    34.57%          10                 2    80.00%          54                21    61.11%          26                19    26.92%
lib/Common/Common/Jobs.cpp                                                 1687              1211    28.22%          88                36    59.09%        1017               440    56.74%         492               367    25.41%
lib/Common/Common/Jobs.h                                                     17                 6    64.71%           6                 1    83.33%          22                 8    63.64%           8                 4    50.00%
lib/Common/Common/Jobs.inl                                                 1095               964    11.96%          12                 8    33.33%         348               272    21.84%         332               302     9.04%
lib/Common/Common/MathUtil.cpp                                                7                 1    85.71%           3                 1    66.67%          23                 3    86.96%           0                 0         -
lib/Common/Common/MathUtil.h                                                 70                30    57.14%          20                 3    85.00%          75                14    81.33%          20                 9    55.00%
lib/Common/Common/NumberUtilities.cpp                                       679               451    33.58%          17                 4    76.47%         516               276    46.51%         328               229    30.18%
lib/Common/Common/NumberUtilities.h                                          78                78     0.00%           5                 5     0.00%          76                76     0.00%          42                42     0.00%
lib/Common/Common/NumberUtilities.inl                                        14                 5    64.29%          12                 5    58.33%          54                20    62.96%           4                 0   100.00%
lib/Common/Common/NumberUtilities_strtod.cpp                               3984              2492    37.45%          30                 6    80.00%        1917               670    65.05%        1588               934    41.18%
lib/Common/Common/ObservableValue.h                                           8                 0   100.00%           4                 0   100.00%          15                 0   100.00%           4                 1    75.00%
lib/Common/Common/RejitReason.cpp                                            19                19     0.00%           1                 1     0.00%           5                 5     0.00%           4                 4     0.00%
lib/Common/Common/SmartFpuControl.cpp                                        76                52    31.58%           7                 1    85.71%          66                25    62.12%          18                13    27.78%
lib/Common/Common/SmartFpuControl.h                                          25                25     0.00%           2                 2     0.00%           7                 7     0.00%           6                 6     0.00%
lib/Common/Common/ThreadService.h                                             6                 1    83.33%           4                 1    75.00%          14                 6    57.14%           4                 2    50.00%
lib/Common/Common/Tick.cpp                                                  409               391     4.40%          45                36    20.00%         221               176    20.36%         106               104     1.89%
lib/Common/Common/Tick.h                                                      3                 0   100.00%           1                 0   100.00%           7                 0   100.00%           2                 1    50.00%
lib/Common/Common/UInt16Math.h                                               18                 4    77.78%          10                 1    90.00%          52                18    65.38%           6                 3    50.00%
lib/Common/Common/UInt32Math.h                                               35                 6    82.86%          14                 0   100.00%          76                15    80.26%          12                 5    58.33%
lib/Common/Common/vtinfo.cpp                                                 31                21    32.26%           2                 1    50.00%          19                10    47.37%           8                 6    25.00%
lib/Common/Common/vtinfo.h                                                   27                14    48.15%           9                 2    77.78%          13                 2    84.62%           4                 3    25.00%
lib/Common/Common/vtinfo.inl                                                  4                 0   100.00%           2                 0   100.00%          16                 0   100.00%           0                 0         -
lib/Common/CommonPal.h                                                       55                21    61.82%          21                 4    80.95%         149                37    75.17%          18                 9    50.00%
